ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;Mme RÉMY-LELEU Raphaëlle (EELV);M. RUPIN Pacôme (LREM Buzyn);M. VÉRON Aurélien (LR);M. WEIL Ariel (PS);Mme LEBRETON Anne (LREM Villani)
1;Municipales;2020;1;15/03/2020;1;1;1;1;20;1050;462;462;3;4;455;31;107;119;105;49
2;Municipales;2020;1;15/03/2020;1;2;1;2;23;1216;532;532;3;2;527;44;128;138;134;49
3;Municipales;2020;1;15/03/2020;1;2;1;3;19;1245;589;589;3;3;583;62;112;120;190;50
4;Municipales;2020;1;15/03/2020;1;2;1;4;0;1335;586;586;4;4;578;72;88;116;208;32
5;Municipales;2020;1;15/03/2020;1;2;1;5;22;1057;457;457;7;2;448;56;102;77;140;38
6;Municipales;2020;1;15/03/2020;1;2;1;6;24;1230;536;537;8;4;525;44;120;113;152;44
7;Municipales;2020;1;15/03/2020;1;3;1;7;16;1132;556;556;2;2;552;28;149;150;137;50
8;Municipales;2020;1;15/03/2020;1;3;1;8;26;963;436;436;3;1;432;24;121;137;88;19
9;Municipales;2020;1;15/03/2020;1;4;1;9;16;988;466;466;1;6;459;30;131;145;85;28
10;Municipales;2020;1;15/03/2020;1;4;1;10;14;899;368;368;0;3;365;27;100;132;58;32
