ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;Mme NAZZAL Bouchra (LREM Villani);M. BELLIARD David (EELV);Mme CAR Pépita (LFI);Mme GARNIER Nelly (LR);M. VAUGLIN François (PS);M. POITOUX Guillaume (LREM Buzyn)
1;Municipales;2020;1;15/03/2020;7;43;11;1;33;1749;765;765;3;5;757;48;94;33;107;344;98
2;Municipales;2020;1;15/03/2020;7;43;11;2;33;1616;799;799;7;12;780;47;84;34;94;351;126
3;Municipales;2020;1;15/03/2020;7;43;11;3;26;1482;637;637;6;12;619;29;75;33;80;275;80
4;Municipales;2020;1;15/03/2020;7;43;11;4;30;1722;740;740;3;5;732;45;75;34;109;330;102
5;Municipales;2020;1;15/03/2020;7;43;11;5;35;1715;735;735;3;7;725;54;100;35;70;321;100
6;Municipales;2020;1;15/03/2020;7;99;11;6;30;1625;702;702;7;16;679;41;85;30;86;320;75
7;Municipales;2020;1;15/03/2020;7;99;11;7;26;1527;675;675;7;7;661;42;91;30;79;273;97
8;Municipales;2020;1;15/03/2020;7;44;11;8;42;1516;728;728;1;7;720;43;110;38;84;324;92
9;Municipales;2020;1;15/03/2020;7;43;11;9;29;1623;748;748;11;5;732;36;99;22;86;360;104
10;Municipales;2020;1;15/03/2020;7;43;11;10;29;1595;676;677;2;3;672;45;61;27;104;286;104
11;Municipales;2020;1;15/03/2020;7;99;11;11;33;1820;776;776;3;9;764;64;108;40;72;353;101
12;Municipales;2020;1;15/03/2020;7;43;11;12;31;1642;752;752;3;13;736;50;108;32;82;344;91
13;Municipales;2020;1;15/03/2020;7;43;11;13;33;1662;710;711;5;10;696;62;114;21;71;305;92
14;Municipales;2020;1;15/03/2020;7;43;11;14;39;1800;858;858;7;12;839;56;124;46;94;336;120
15;Municipales;2020;1;15/03/2020;7;99;11;15;40;1712;818;820;1;10;809;59;84;17;142;303;165
16;Municipales;2020;1;15/03/2020;7;42;11;16;38;1525;738;738;0;9;729;56;74;13;129;265;162
17;Municipales;2020;1;15/03/2020;7;42;11;17;21;1500;677;677;2;3;672;40;84;20;108;268;120
18;Municipales;2020;1;15/03/2020;7;42;11;18;26;1496;641;642;3;12;627;29;65;24;85;278;113
19;Municipales;2020;1;15/03/2020;7;42;11;19;32;1482;651;651;2;4;645;39;66;18;86;295;110
20;Municipales;2020;1;15/03/2020;7;99;11;20;26;1647;750;750;3;7;740;40;109;32;113;286;133
21;Municipales;2020;1;15/03/2020;7;41;11;21;40;1542;697;697;6;7;684;57;78;23;80;275;135
22;Municipales;2020;1;15/03/2020;7;41;11;22;26;1697;726;726;4;14;708;47;96;28;78;308;122
23;Municipales;2020;1;15/03/2020;7;41;11;23;42;1649;732;732;3;5;724;42;112;39;81;341;84
24;Municipales;2020;1;15/03/2020;7;99;11;24;32;1743;779;779;1;8;770;61;112;24;74;302;156
25;Municipales;2020;1;15/03/2020;7;42;11;25;26;1734;819;819;4;17;798;44;121;41;93;343;120
26;Municipales;2020;1;15/03/2020;7;42;11;26;33;1742;807;807;5;13;789;55;94;30;99;331;126
27;Municipales;2020;1;15/03/2020;6;41;11;27;22;1686;802;802;5;6;791;49;125;36;66;384;98
28;Municipales;2020;1;15/03/2020;6;41;11;28;39;1700;740;740;4;6;730;37;111;44;57;345;109
29;Municipales;2020;1;15/03/2020;6;41;11;29;25;1759;726;726;4;5;717;41;131;61;73;297;86
30;Municipales;2020;1;15/03/2020;6;41;11;30;42;1848;757;757;5;10;742;38;129;49;54;360;81
31;Municipales;2020;1;15/03/2020;6;41;11;31;20;1840;645;645;3;11;631;35;88;55;68;282;55
32;Municipales;2020;1;15/03/2020;6;41;11;32;25;1920;747;747;6;8;733;53;108;49;67;339;73
33;Municipales;2020;1;15/03/2020;6;99;11;33;17;1808;749;750;3;7;740;46;94;36;81;342;90
34;Municipales;2020;1;15/03/2020;6;99;11;34;21;1729;658;662;2;8;652;40;127;38;67;267;71
35;Municipales;2020;1;15/03/2020;6;42;11;35;43;1682;748;748;2;6;740;42;87;32;99;322;126
36;Municipales;2020;1;15/03/2020;6;42;11;36;32;1706;761;760;5;7;748;40;112;38;90;339;89
37;Municipales;2020;1;15/03/2020;6;42;11;37;48;1625;726;726;5;6;715;38;79;31;118;305;106
38;Municipales;2020;1;15/03/2020;6;42;11;38;24;1696;760;760;3;11;746;49;98;44;109;310;103
39;Municipales;2020;1;15/03/2020;6;43;11;39;24;1428;646;646;5;10;631;32;117;28;81;243;76
40;Municipales;2020;1;15/03/2020;6;99;11;40;18;1498;660;660;3;11;646;38;83;20;83;277;92
41;Municipales;2020;1;15/03/2020;6;43;11;41;18;1739;694;694;4;4;686;32;112;42;101;264;91
42;Municipales;2020;1;15/03/2020;6;43;11;42;19;1545;582;582;10;6;566;26;86;30;91;227;66
43;Municipales;2020;1;15/03/2020;6;43;11;43;30;1748;816;816;7;6;803;42;143;54;78;351;82
44;Municipales;2020;1;15/03/2020;6;44;11;44;26;1718;749;749;4;10;735;43;77;32;95;331;121
45;Municipales;2020;1;15/03/2020;6;99;11;45;15;1575;697;697;1;10;686;35;84;30;129;252;108
46;Municipales;2020;1;15/03/2020;6;99;11;46;16;1811;657;658;6;10;642;29;67;56;124;242;76
47;Municipales;2020;1;15/03/2020;6;44;11;47;30;1783;796;796;6;13;777;42;99;57;118;324;84
48;Municipales;2020;1;15/03/2020;6;44;11;48;33;1739;849;849;6;4;839;59;107;43;146;291;142
49;Municipales;2020;1;15/03/2020;6;44;11;49;35;1762;816;817;9;6;802;48;107;41;130;317;99
50;Municipales;2020;1;15/03/2020;6;44;11;50;43;1709;824;824;6;6;812;57;100;27;122;372;88
51;Municipales;2020;1;15/03/2020;6;44;11;51;33;1699;758;759;4;11;744;45;102;34;122;310;99
52;Municipales;2020;1;15/03/2020;6;44;11;52;30;1756;784;781;6;7;768;56;102;41;84;346;104
53;Municipales;2020;1;15/03/2020;6;44;11;53;42;1702;835;835;4;16;815;40;78;42;122;367;124
54;Municipales;2020;1;15/03/2020;6;44;11;54;20;1625;656;656;3;6;647;45;72;27;100;263;81
55;Municipales;2020;1;15/03/2020;6;44;11;55;27;1681;758;758;9;11;738;46;92;24;86;362;90
