ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;M. BONY Clément (LFI);M. GRÉGOIRE Emmanuel (PS);Mme MAZETIER Sandrine (LREM Buzyn);Mme MONTANDON Valérie (LR);M. REBOURG Patrick (LREM Villani);Mme PIERRE-MARIE Emmanuelle (EELV);
1;Municipales;2020;1;15/03/2020;8;46;12;1;28;1231;591;592;3;2;587;19;217;99;126;37;80;
2;Municipales;2020;1;15/03/2020;8;46;12;2;18;1303;553;554;4;6;544;25;196;83;103;46;76;
3;Municipales;2020;1;15/03/2020;8;46;12;3;13;1393;590;590;4;9;577;22;200;101;130;42;65;
4;Municipales;2020;1;15/03/2020;8;46;12;4;27;1457;572;572;2;11;559;30;203;97;123;30;64;
5;Municipales;2020;1;15/03/2020;8;46;12;5;37;1451;663;663;6;7;650;21;183;108;196;55;69;
6;Municipales;2020;1;15/03/2020;8;46;12;6;52;1548;661;661;4;10;647;22;209;107;173;54;67;
7;Municipales;2020;1;15/03/2020;8;46;12;7;35;1511;804;804;3;10;791;28;225;160;230;62;78;
8;Municipales;2020;1;15/03/2020;8;46;12;8;22;1419;589;589;8;12;569;38;161;102;145;47;57;
9;Municipales;2020;1;15/03/2020;8;46;12;9;25;1434;527;527;6;13;508;47;175;62;111;41;58;
10;Municipales;2020;1;15/03/2020;8;46;12;10;26;1537;628;628;1;6;621;30;221;100;117;56;89;
11;Municipales;2020;1;15/03/2020;8;46;12;11;44;1371;629;629;2;9;618;19;230;95;148;44;67;
12;Municipales;2020;1;15/03/2020;8;46;12;12;17;1541;694;694;4;10;680;29;232;130;123;67;78;
13;Municipales;2020;1;15/03/2020;8;46;12;13;33;1471;723;723;9;11;703;28;280;93;126;70;87;
14;Municipales;2020;1;15/03/2020;8;46;12;14;25;1387;577;577;0;8;569;13;166;111;153;53;58;
15;Municipales;2020;1;15/03/2020;8;46;12;15;51;1561;646;646;1;2;643;33;253;93;136;39;69;
16;Municipales;2020;1;15/03/2020;8;46;12;16;32;1371;634;634;3;6;625;20;176;117;177;50;69;
17;Municipales;2020;1;15/03/2020;8;46;12;17;22;1349;600;600;1;9;590;17;165;112;175;54;53;
