ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;M. PENG Chang Hua (LREM Buzyn);M. BEN MERZOUG Amir (LREM Villani);M. QNOUCH Raphaël (LFI);M. COUMET Jérôme (PS);Mme SOUYRIS Anne (EELV);M. OLIVIER Jean-Baptiste (LR);
1;Municipales;2020;1;15/03/2020;9;49;13;1;30;1686;784;784;1;19;764;116;61;39;286;100;133;
2;Municipales;2020;1;15/03/2020;9;49;13;2;28;1434;571;571;4;10;557;65;34;42;220;66;101;
3;Municipales;2020;1;15/03/2020;9;49;13;3;25;1626;681;681;6;9;666;70;39;31;305;84;100;
4;Municipales;2020;1;15/03/2020;9;49;13;4;13;1195;460;460;6;11;443;47;27;26;160;44;78;
5;Municipales;2020;1;15/03/2020;9;49;13;5;38;1543;699;698;9;8;681;91;51;37;274;70;113;
6;Municipales;2020;1;15/03/2020;9;49;13;6;13;1228;553;553;10;5;538;71;44;21;233;51;89;
7;Municipales;2020;1;15/03/2020;9;49;13;7;16;1642;611;611;3;9;599;88;31;27;253;66;96;
8;Municipales;2020;1;15/03/2020;9;50;13;8;16;1462;612;612;2;1;609;61;52;39;251;73;89;
9;Municipales;2020;1;15/03/2020;9;50;13;9;10;1314;484;484;4;4;476;47;29;35;195;55;74;
10;Municipales;2020;1;15/03/2020;9;50;13;10;10;1267;538;538;1;10;527;48;21;37;213;37;115;
11;Municipales;2020;1;15/03/2020;9;50;13;11;18;1483;555;555;9;12;534;65;33;36;204;47;91;
12;Municipales;2020;1;15/03/2020;9;50;13;12;9;1426;523;523;4;8;511;42;25;31;241;35;97;
13;Municipales;2020;1;15/03/2020;9;50;13;13;24;1653;748;748;5;8;735;91;43;79;300;83;102;
14;Municipales;2020;1;15/03/2020;9;50;13;14;7;1429;510;510;4;13;493;53;27;34;200;30;98;
15;Municipales;2020;1;15/03/2020;9;50;13;15;9;1722;529;529;6;15;508;76;28;34;194;40;96;
16;Municipales;2020;1;15/03/2020;9;50;13;16;18;1932;691;691;4;8;679;75;47;51;275;90;96;
17;Municipales;2020;1;15/03/2020;9;50;13;17;14;1659;658;658;5;14;639;93;41;68;255;51;96;
18;Municipales;2020;1;15/03/2020;9;50;13;18;8;1515;545;545;7;8;530;45;31;46;240;34;100;
19;Municipales;2020;1;15/03/2020;9;50;13;19;14;1815;525;525;5;9;511;75;18;37;199;53;106;
20;Municipales;2020;1;15/03/2020;9;50;13;20;7;1864;502;502;4;13;485;84;30;25;168;31;109;
21;Municipales;2020;1;15/03/2020;9;50;13;21;4;1607;457;457;4;8;445;40;36;25;151;31;99;
