ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;M. VILLANI Cédric (LREM Villani);M. LETISSIER Florentin (EELV);Mme CARRERE-GEE Marie-Claire (LR);M. AZIERE Éric (LREM Buzyn);Mme ESSEMLALI Lamya (LFI);Mme PETIT Carine (PS)
1;Municipales;2020;1;15/03/2020;11;55;14;1;28;1375;638;638;5;7;626;97;70;103;87;24;224
2;Municipales;2020;1;15/03/2020;11;55;14;2;22;1495;657;657;1;6;650;84;84;132;81;24;215
3;Municipales;2020;1;15/03/2020;11;55;14;3;32;1620;828;828;5;17;806;99;97;162;150;22;257
4;Municipales;2020;1;15/03/2020;11;55;14;4;26;1528;695;695;1;9;685;80;88;117;109;22;240
5;Municipales;2020;1;15/03/2020;11;55;14;5;28;1409;657;657;3;5;649;88;60;126;101;19;238
6;Municipales;2020;1;15/03/2020;11;55;14;6;31;1480;760;760;1;8;751;93;98;151;126;20;244
7;Municipales;2020;1;15/03/2020;11;55;14;7;25;1474;692;691;5;6;680;73;94;132;105;21;237
8;Municipales;2020;1;15/03/2020;11;55;14;8;27;1484;734;734;4;8;722;110;78;144;126;18;215
9;Municipales;2020;1;15/03/2020;11;55;14;9;24;1512;729;729;4;5;720;98;80;131;116;20;258
10;Municipales;2020;1;15/03/2020;11;55;14;10;18;1443;581;581;2;11;568;63;65;118;87;18;180
11;Municipales;2020;1;15/03/2020;11;55;14;11;17;1398;636;636;6;10;620;73;82;124;112;22;188
12;Municipales;2020;1;15/03/2020;11;55;14;12;18;1570;743;743;3;11;729;88;73;162;118;27;223
13;Municipales;2020;1;15/03/2020;11;55;14;13;18;1561;769;769;8;13;748;90;88;151;105;21;262
14;Municipales;2020;1;15/03/2020;11;56;14;14;30;1573;843;843;4;8;831;127;83;189;171;19;217
15;Municipales;2020;1;15/03/2020;11;56;14;15;15;1582;724;724;1;9;714;90;73;133;103;30;245
16;Municipales;2020;1;15/03/2020;11;56;14;16;20;1544;633;633;3;8;622;81;63;132;98;18;205
17;Municipales;2020;1;15/03/2020;11;56;14;17;24;1503;752;752;2;6;744;106;85;133;125;17;253
18;Municipales;2020;1;15/03/2020;11;56;14;18;19;1583;677;677;11;6;660;82;75;104;97;26;255
19;Municipales;2020;1;15/03/2020;11;56;14;19;21;1657;643;642;4;6;632;74;105;108;76;22;228
20;Municipales;2020;1;15/03/2020;11;56;14;20;14;1417;578;578;3;16;559;54;59;112;68;28;213
21;Municipales;2020;1;15/03/2020;11;56;14;21;6;1409;498;498;2;13;483;32;45;108;42;18;202
22;Municipales;2020;1;15/03/2020;11;56;14;22;16;1554;648;648;4;7;637;58;68;117;73;28;243
23;Municipales;2020;1;15/03/2020;11;56;14;23;10;1552;722;722;6;13;703;92;82;124;82;27;263
24;Municipales;2020;1;15/03/2020;11;56;14;24;32;1618;777;777;5;13;759;93;107;116;101;35;284
25;Municipales;2020;1;15/03/2020;11;56;14;25;30;1567;741;741;5;9;727;76;100;139;124;28;246
26;Municipales;2020;1;15/03/2020;11;53;14;26;17;1303;619;619;2;6;611;81;64;143;119;18;164
27;Municipales;2020;1;15/03/2020;11;53;14;27;28;1105;490;490;5;6;479;65;39;132;123;7;105
28;Municipales;2020;1;15/03/2020;11;53;14;28;40;1567;741;742;6;9;727;93;74;167;173;18;183
