ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;M. GOUJON Philippe (LDVD);Mme IBLED Catherine (LREM Buzyn);Mme NIAKATÉ Aminata (EELV);M. GUIBERT Géraud (LREM Villani);Mme EVREN Agnès (LR);Mme TORANIAN Anouch (PS);;
1;Municipales;2020;1;15/03/2020;12;59;15;1;34;1217;533;533;1;6;526;148;92;34;31;96;106;;
2;Municipales;2020;1;15/03/2020;12/01/1900;59;15;2;53;1407;684;688;2;7;679;169;115;48;33;161;124;;
3;Municipales;2020;1;15/03/2020;12/01/1900;59;15;3;13;1330;593;593;3;9;581;130;72;52;36;115;148;;
4;Municipales;2020;1;15/03/2020;12/01/1900;59;15;4;17;1632;657;657;2;5;650;149;111;51;52;128;134;;
5;Municipales;2020;1;15/03/2020;12/01/1900;59;15;5;28;1634;652;652;2;6;644;133;110;49;53;155;124;;
6;Municipales;2020;1;15/03/2020;12/01/1900;59;15;6;28;1607;721;721;1;14;706;166;108;51;60;148;143;;
7;Municipales;2020;1;15/03/2020;12/01/1900;59;15;7;28;1557;663;665;3;10;652;145;121;56;39;152;116;;
8;Municipales;2020;1;15/03/2020;12/01/1900;59;15;8;31;1408;647;647;0;4;643;120;140;42;55;140;124;;
9;Municipales;2020;1;15/03/2020;12/01/1900;59;15;9;43;1493;625;625;2;8;615;158;108;42;41;126;110;;
10;Municipales;2020;1;15/03/2020;12/01/1900;59;15;10;9;1519;576;578;0;2;576;104;118;32;32;155;106;;
11;Municipales;2020;1;15/03/2020;12/01/1900;59;15;11;29;1586;724;724;4;7;713;174;154;43;46;158;110;;
12;Municipales;2020;1;15/03/2020;12/01/1900;59;15;12;20;1724;786;786;4;6;776;162;159;69;50;165;144;;
13;Municipales;2020;1;15/03/2020;12/01/1900;59;15;13;45;1642;752;752;2;7;743;186;120;72;57;146;136;;
14;Municipales;2020;1;15/03/2020;12/01/1900;59;15;14;30;1696;749;749;1;4;744;170;166;37;55;203;87;;
15;Municipales;2020;1;15/03/2020;12/01/1900;59;15;15;15;1553;645;648;3;6;639;145;95;42;39;208;79;;
16;Municipales;2020;1;15/03/2020;12/01/1900;59;15;16;17;1699;838;838;2;6;830;176;158;38;53;260;118;;
17;Municipales;2020;1;15/03/2020;12/01/1900;59;15;17;20;1550;664;664;2;2;660;172;91;41;37;191;85;;
18;Municipales;2020;1;15/03/2020;12/01/1900;59;15;18;17;1384;587;590;7;7;576;128;107;36;42;172;61;;
19;Municipales;2020;1;15/03/2020;12/01/1900;59;15;19;38;1402;674;675;3;8;664;154;125;46;42;190;82;;
20;Municipales;2020;1;15/03/2020;12/01/1900;58;15;20;18;1501;654;657;2;6;649;142;105;41;56;219;75;;
