ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;M. SZPINER Francis (LR);Mme SEBBAH Hanna (LREM Buzyn);Mme MARRE Béatrice (PS);Mme COPPIN Anne-Sophie (LREM Villani);Mme BOULAY-ESPÉRONNIER Céline (LDVD)
1;Municipales;2020;1;15/03/2020;14;62;16;1;22;1463;578;578;0;1;577;306;127;31;25;39
2;Municipales;2020;1;15/03/2020;14;62;16;2;24;1552;662;662;1;6;655;348;161;25;26;42
3;Municipales;2020;1;15/03/2020;14;62;16;3;30;1511;526;526;1;1;524;302;121;28;19;22
4;Municipales;2020;1;15/03/2020;14;62;16;4;34;1608;603;603;1;1;601;327;152;27;19;37
5;Municipales;2020;1;15/03/2020;14;62;16;5;24;1284;546;546;4;5;537;263;127;31;27;33
6;Municipales;2020;1;15/03/2020;14;62;16;6;15;1288;582;582;2;5;575;289;137;45;28;31
7;Municipales;2020;1;15/03/2020;14;62;16;7;19;1381;529;529;1;8;520;259;124;36;28;21
8;Municipales;2020;1;15/03/2020;14;62;16;8;30;1280;554;554;5;4;545;305;121;27;18;34
9;Municipales;2020;1;15/03/2020;14;62;16;9;14;1228;497;496;1;6;489;253;127;28;15;21
10;Municipales;2020;1;15/03/2020;14;62;16;10;33;1389;595;595;2;2;591;263;153;42;37;42
11;Municipales;2020;1;15/03/2020;14;62;16;11;39;1250;524;524;1;4;519;254;143;34;20;36
12;Municipales;2020;1;15/03/2020;14;62;16;12;13;1281;501;501;1;7;493;211;128;34;28;38
13;Municipales;2020;1;15/03/2020;14;62;16;13;20;1416;575;575;2;2;571;271;123;53;41;24
14;Municipales;2020;1;15/03/2020;14;62;16;14;10;1307;565;565;2;9;554;249;140;41;24;41
15;Municipales;2020;1;15/03/2020;14;62;16;15;25;1252;519;519;2;0;517;264;142;35;23;21
16;Municipales;2020;1;15/03/2020;14;62;16;16;39;1328;628;629;0;5;624;259;174;51;38;40
17;Municipales;2020;1;15/03/2020;14;62;16;17;25;1407;662;662;3;2;657;328;156;30;37;56
18;Municipales;2020;1;15/03/2020;14;62;16;18;33;1420;592;592;0;2;590;288;174;35;15;22
19;Municipales;2020;1;15/03/2020;14;62;16;19;23;1325;536;536;0;6;530;230;133;51;43;22
20;Municipales;2020;1;15/03/2020;14;62;16;20;25;1524;667;661;1;3;657;306;161;43;36;56
21;Municipales;2020;1;15/03/2020;14;61;16;21;27;1473;678;672;2;10;660;290;177;54;41;23
22;Municipales;2020;1;15/03/2020;14;61;16;22;29;1634;714;714;1;8;705;334;180;54;37;30
23;Municipales;2020;1;15/03/2020;14;61;16;23;17;1414;660;660;3;2;655;370;131;38;32;30
24;Municipales;2020;1;15/03/2020;14;61;16;24;17;1440;564;566;2;1;563;310;122;34;27;18
25;Municipales;2020;1;15/03/2020;14;61;16;25;20;1446;598;598;3;6;589;280;123;57;37;18
26;Municipales;2020;1;15/03/2020;14;61;16;26;28;1467;600;600;1;4;595;270;154;38;32;51
27;Municipales;2020;1;15/03/2020;14;61;16;27;26;1309;576;577;2;5;570;266;130;40;31;37
28;Municipales;2020;1;15/03/2020;14;61;16;28;21;1284;542;542;0;5;537;254;135;52;25;25
29;Municipales;2020;1;15/03/2020;14;61;16;29;20;1302;535;535;2;4;529;247;141;45;21;30
30;Municipales;2020;1;15/03/2020;14;61;16;30;30;1388;570;572;5;9;558;261;121;70;35;12
31;Municipales;2020;1;15/03/2020;14;61;16;31;56;1363;598;598;2;8;588;272;130;51;38;31
32;Municipales;2020;1;15/03/2020;14;61;16;32;10;1498;617;617;3;0;614;258;113;87;35;32
33;Municipales;2020;1;15/03/2020;14;61;16;33;16;1523;654;654;0;7;647;294;151;76;39;33
34;Municipales;2020;1;15/03/2020;14;61;16;34;21;1645;648;648;0;3;645;323;172;45;30;22
35;Municipales;2020;1;15/03/2020;14;61;16;35;26;1214;561;563;0;6;557;289;130;21;36;37
36;Municipales;2020;1;15/03/2020;14;61;16;36;16;1480;549;549;1;9;539;230;117;67;42;20
37;Municipales;2020;1;15/03/2020;14;61;16;37;15;1413;579;579;1;3;575;256;151;53;30;25
38;Municipales;2020;1;15/03/2020;14;61;16;38;26;1578;676;685;3;5;677;282;187;67;43;39
39;Municipales;2020;1;15/03/2020;14;61;16;39;21;1493;591;591;1;8;582;251;130;65;38;21
40;Municipales;2020;1;15/03/2020;14;61;16;40;9;1540;536;536;1;7;528;232;97;71;35;20
41;Municipales;2020;1;15/03/2020;14;61;16;41;13;1556;635;635;2;4;629;253;119;88;53;33
42;Municipales;2020;1;15/03/2020;14;61;16;42;31;1184;477;477;2;6;469;215;128;39;31;21
43;Municipales;2020;1;15/03/2020;14;61;16;43;11;1296;528;530;4;4;522;220;111;53;31;39
44;Municipales;2020;1;15/03/2020;14;61;16;44;9;1305;472;472;4;15;453;174;75;77;15;39
45;Municipales;2020;1;15/03/2020;14;61;16;45;12;1362;459;460;5;3;452;170;96;50;41;38
46;Municipales;2020;1;15/03/2020;14;61;16;46;7;1230;421;421;0;5;416;166;72;68;25;20
47;Municipales;2020;1;15/03/2020;14;61;16;47;11;1596;643;642;5;3;634;263;107;82;40;67
48;Municipales;2020;1;15/03/2020;14;61;16;48;25;1443;616;616;1;4;611;276;133;70;49;24
49;Municipales;2020;1;15/03/2020;14;61;16;49;41;1578;683;683;0;3;680;318;130;45;49;54
50;Municipales;2020;1;15/03/2020;14;61;16;50;19;1694;768;769;0;8;761;362;186;65;35;30
51;Municipales;2020;1;15/03/2020;14;63;16;51;41;1709;648;648;3;6;639;321;152;53;33;24
52;Municipales;2020;1;15/03/2020;14;63;16;52;42;1619;602;602;5;6;591;295;127;57;27;23
53;Municipales;2020;1;15/03/2020;4;63;16;53;8;1448;486;486;1;7;478;247;103;35;36;22
54;Municipales;2020;1;15/03/2020;4;63;16;54;25;1411;485;485;0;3;482;214;146;30;29;14
55;Municipales;2020;1;15/03/2020;4;63;16;55;18;1581;656;656;2;5;649;349;140;32;30;38
56;Municipales;2020;1;15/03/2020;4;63;16;56;10;1484;556;556;0;6;550;296;122;25;20;32
57;Municipales;2020;1;15/03/2020;4;63;16;57;19;1500;541;542;1;2;539;260;118;37;33;30
58;Municipales;2020;1;15/03/2020;4;63;16;58;10;1499;494;496;2;7;487;262;123;20;20;24
59;Municipales;2020;1;15/03/2020;4;63;16;59;17;1506;639;639;0;5;634;328;164;28;42;30
60;Municipales;2020;1;15/03/2020;4;63;16;60;15;1508;583;586;2;3;581;311;135;29;25;32
61;Municipales;2020;1;15/03/2020;4;64;16;61;19;1376;520;520;0;0;520;277;139;18;36;15
62;Municipales;2020;1;15/03/2020;4;64;16;62;30;1465;605;605;4;1;600;288;147;56;34;17
63;Municipales;2020;1;15/03/2020;4;64;16;63;21;1431;574;574;1;2;571;264;130;56;42;20
64;Municipales;2020;1;15/03/2020;4;64;16;64;15;1191;468;469;1;3;465;229;115;33;29;18
65;Municipales;2020;1;15/03/2020;4;65;16;65;12;1392;531;531;3;4;524;242;135;41;28;30
66;Municipales;2020;1;15/03/2020;4;64;16;66;11;1205;412;412;2;1;409;201;106;27;24;17
67;Municipales;2020;1;15/03/2020;4;64;16;67;17;1335;468;461;3;0;458;233;102;33;27;12
68;Municipales;2020;1;15/03/2020;4;64;16;68;18;1400;471;471;2;11;458;228;95;44;26;26
