ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;Mme MEDDAH Assia (LREM Villani);Mme BUZYN Agnès (LREM Buzyn);M. BOULARD Geoffroy (LR);Mme PEREZ Karina (EELV);Mme TAÏEB Karen (PS)
1;Municipales;2020;1;15/03/2020;3;67;17;1;26;1406;626;626;1;1;624;47;134;172;81;157
2;Municipales;2020;1;15/03/2020;3;67;17;2;33;1458;606;606;0;10;596;45;154;182;63;128
3;Municipales;2020;1;15/03/2020;3;67;17;3;36;1506;681;681;6;8;667;36;155;179;101;169
4;Municipales;2020;1;15/03/2020;3;67;17;4;22;1550;650;651;4;4;643;36;149;162;86;163
5;Municipales;2020;1;15/03/2020;3;67;17;5;34;1460;675;675;2;3;670;48;144;249;92;107
6;Municipales;2020;1;15/03/2020;3;67;17;6;19;1438;606;607;2;0;605;48;178;192;69;91
7;Municipales;2020;1;15/03/2020;3;67;17;7;40;1454;698;698;7;6;685;41;181;193;76;158
8;Municipales;2020;1;15/03/2020;3;67;17;8;33;1518;744;744;3;11;730;47;196;240;84;133
9;Municipales;2020;1;15/03/2020;3;67;17;9;39;1707;822;822;6;7;809;56;181;245;124;168
10;Municipales;2020;1;15/03/2020;3;67;17;10;21;1409;600;602;0;7;595;34;156;227;61;97
11;Municipales;2020;1;15/03/2020;3;67;17;11;19;1450;686;686;1;0;685;52;146;271;67;109
12;Municipales;2020;1;15/03/2020;3;67;17;12;25;1508;700;700;4;9;687;45;189;234;79;112
13;Municipales;2020;1;15/03/2020;3;67;17;13;27;1605;714;714;2;8;704;48;176;216;83;131
14;Municipales;2020;1;15/03/2020;3;67;17;14;19;1596;710;710;3;5;702;36;175;310;68;82
15;Municipales;2020;1;15/03/2020;3;67;17;15;20;1466;640;640;4;8;628;29;160;299;46;62
16;Municipales;2020;1;15/03/2020;3;67;17;16;25;2214;969;971;6;27;938;43;138;399;83;206
17;Municipales;2020;1;15/03/2020;3;67;17;17;13;1561;595;597;5;16;576;31;90;252;39;111
18;Municipales;2020;1;15/03/2020;3;68;17;18;11;1459;543;543;6;16;521;42;78;172;47;134
19;Municipales;2020;1;15/03/2020;3;68;17;19;7;1250;378;378;5;7;366;20;39;127;29;109
20;Municipales;2020;1;15/03/2020;3;68;17;20;5;1335;419;419;4;9;406;26;44;160;31;92
21;Municipales;2020;1;15/03/2020;3;68;17;21;28;1417;570;570;5;3;562;35;97;150;80;161
22;Municipales;2020;1;15/03/2020;3;68;17;22;16;1214;504;506;4;3;499;31;83;126;63;146
23;Municipales;2020;1;15/03/2020;3;68;17;23;3;1413;390;390;7;14;369;19;51;133;34;84
24;Municipales;2020;1;15/03/2020;3;68;17;24;13;1178;530;528;2;9;517;39;90;120;77;141
25;Municipales;2020;1;15/03/2020;3;68;17;25;19;1830;738;738;9;17;712;60;111;198;54;233
26;Municipales;2020;1;15/03/2020;3;68;17;26;21;1422;564;562;6;9;547;48;110;119;78;147
27;Municipales;2020;1;15/03/2020;3;68;17;27;19;1618;596;596;3;8;585;41;85;173;81;143
28;Municipales;2020;1;15/03/2020;3;68;17;28;17;1633;716;716;3;8;705;44;152;220;90;155
29;Municipales;2020;1;15/03/2020;3;68;17;29;28;1768;751;751;2;18;731;49;131;172;106;225
30;Municipales;2020;1;15/03/2020;3;68;17;30;26;1326;634;629;3;5;621;33;93;172;94;191
31;Municipales;2020;1;15/03/2020;3;68;17;31;17;1417;613;613;1;5;607;40;120;156;95;160
32;Municipales;2020;1;15/03/2020;3;68;17;32;14;1475;639;639;1;6;632;58;136;171;84;133
33;Municipales;2020;1;15/03/2020;3;68;17;33;30;1445;644;645;2;3;640;49;101;153;98;201
34;Municipales;2020;1;15/03/2020;3;68;17;34;29;1436;657;657;1;18;638;55;115;149;129;152
35;Municipales;2020;1;15/03/2020;3;68;17;35;24;1291;590;591;5;6;580;37;117;155;95;135
36;Municipales;2020;1;15/03/2020;4;66;17;36;14;1472;516;516;3;12;501;24;91;233;36;73
37;Municipales;2020;1;15/03/2020;4;66;17;37;31;1482;637;637;4;4;629;29;132;379;22;43
38;Municipales;2020;1;15/03/2020;4;66;17;38;8;1453;642;642;6;12;624;27;100;325;49;77
39;Municipales;2020;1;15/03/2020;4;66;17;39;2;1425;469;469;10;6;453;25;56;228;27;67
40;Municipales;2020;1;15/03/2020;4;66;17;40;19;1517;711;711;5;15;691;26;167;347;35;72
41;Municipales;2020;1;15/03/2020;4;66;17;41;33;1538;647;647;1;8;638;35;170;331;25;47
42;Municipales;2020;1;15/03/2020;4;66;17;42;22;1588;694;694;1;8;685;36;205;345;37;49
43;Municipales;2020;1;15/03/2020;4;66;17;43;33;1495;663;663;1;8;654;33;199;302;40;53
44;Municipales;2020;1;15/03/2020;4;66;17;44;24;1544;656;656;2;6;648;37;166;313;35;74
45;Municipales;2020;1;15/03/2020;4;66;17;45;36;1547;660;660;3;3;654;41;171;312;38;69
