ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;M. DHORASOO Vikash (LFI);M. LEJOINDRE Eric (PS);M. BOURNAZEL Pierre-Yves (LREM Buzyn);Mme BOUX Anne-Claire (EELV);M. ELALOUF Lucas (LREM Villani);M. GRANIER Rudolph (LR)
1;Municipales;2020;1;15/03/2020;18;70;18;1;38;1569;708;708;0;5;703;59;222;138;131;31;84
2;Municipales;2020;1;15/03/2020;18;70;18;2;20;1550;651;654;5;6;643;32;189;139;115;53;76
3;Municipales;2020;1;15/03/2020;18;70;18;3;25;1522;659;659;3;7;649;25;163;151;95;40;116
4;Municipales;2020;1;15/03/2020;18;70;18;4;29;1837;808;808;6;4;798;63;232;149;147;48;110
5;Municipales;2020;1;15/03/2020;18;70;18;5;23;1251;609;609;1;8;600;34;191;143;95;47;72
6;Municipales;2020;1;15/03/2020;18;70;18;6;35;1491;676;676;3;10;663;53;230;130;121;22;68
7;Municipales;2020;1;15/03/2020;18;70;18;7;19;1432;627;624;3;2;619;61;227;86;120;40;41
8;Municipales;2020;1;15/03/2020;18;70;18;8;20;1452;655;655;1;1;653;72;201;110;130;21;35
9;Municipales;2020;1;15/03/2020;18;70;18;9;11;1622;717;717;5;7;705;42;260;128;134;35;62
10;Municipales;2020;1;15/03/2020;18;70;18;10;31;1675;720;721;4;5;712;90;218;109;156;34;54
11;Municipales;2020;1;15/03/2020;18;70;18;11;20;1604;700;700;6;5;689;64;208;114;152;39;64
12;Municipales;2020;1;15/03/2020;18;70;18;12;12;1645;540;539;7;6;526;60;171;90;73;24;65
13;Municipales;2020;1;15/03/2020;18;70;18;13;4;1140;389;389;2;5;382;41;116;42;42;60;48
14;Municipales;2020;1;15/03/2020;18;70;18;14;20;1904;711;711;3;10;698;102;187;100;148;45;67
15;Municipales;2020;1;15/03/2020;18;70;18;15;18;1500;627;627;5;10;612;68;210;71;132;32;63
16;Municipales;2020;1;15/03/2020;18;70;18;16;34;1612;669;669;8;10;651;64;203;108;121;31;75
17;Municipales;2020;1;15/03/2020;18;70;18;17;43;1841;791;790;9;10;771;108;258;100;154;39;55
18;Municipales;2020;1;15/03/2020;18;70;18;18;22;1843;818;821;5;8;808;103;299;97;168;33;51
19;Municipales;2020;1;15/03/2020;18;70;18;19;27;1796;788;788;2;10;776;72;263;117;172;40;64
20;Municipales;2020;1;15/03/2020;18;70;18;20;36;1695;736;737;4;6;727;68;270;114;126;43;56
21;Municipales;2020;1;15/03/2020;18;70;18;21;32;1653;748;747;4;7;736;71;250;125;130;57;66
22;Municipales;2020;1;15/03/2020;18;70;18;22;16;1497;621;621;3;10;608;45;187;125;102;43;71
23;Municipales;2020;1;15/03/2020;18;70;18;23;15;1493;636;636;0;7;629;53;187;145;105;46;56
24;Municipales;2020;1;15/03/2020;18;70;18;24;28;1541;693;693;0;5;688;65;220;149;107;38;81
25;Municipales;2020;1;15/03/2020;18;69;18;25;35;1494;701;701;1;5;695;28;177;207;82;52;115
26;Municipales;2020;1;15/03/2020;18;69;18;26;24;1454;609;609;1;1;607;45;188;113;118;41;64
27;Municipales;2020;1;15/03/2020;18;69;18;27;19;1433;585;586;3;7;576;49;191;98;113;46;45
28;Municipales;2020;1;15/03/2020;18;69;18;28;26;1762;777;777;1;8;768;45;214;170;126;57;105
29;Municipales;2020;1;15/03/2020;18;69;18;29;23;1627;709;710;3;4;703;45;207;146;106;49;110
30;Municipales;2020;1;15/03/2020;18;69;18;30;23;1770;794;794;4;6;784;39;254;168;118;41;112
31;Municipales;2020;1;15/03/2020;18;69;18;31;29;1816;807;807;3;7;797;37;289;149;124;32;113
32;Municipales;2020;1;15/03/2020;18;69;18;32;27;1648;720;720;1;7;712;60;192;158;102;48;101
33;Municipales;2020;1;15/03/2020;18;69;18;33;12;1642;671;672;3;10;659;42;187;148;115;32;81
34;Municipales;2020;1;15/03/2020;18;69;18;34;20;1788;692;692;6;13;673;47;183;135;111;35;109
35;Municipales;2020;1;15/03/2020;18;69;18;35;15;1531;662;662;1;2;659;33;170;188;92;43;90
36;Municipales;2020;1;15/03/2020;18;69;18;36;25;1557;654;654;4;5;645;43;183;140;120;39;80
37;Municipales;2020;1;15/03/2020;18;69;18;37;19;1584;719;712;3;6;703;25;211;153;115;36;119
38;Municipales;2020;1;15/03/2020;3;69;18;38;33;1592;706;706;3;7;696;58;196;127;121;40;105
39;Municipales;2020;1;15/03/2020;3;69;18;39;12;1735;696;696;7;17;672;59;174;110;120;47;109
40;Municipales;2020;1;15/03/2020;3;69;18;40;19;1634;729;729;2;5;722;39;183;173;97;77;101
41;Municipales;2020;1;15/03/2020;3;69;18;41;16;1676;688;688;2;11;675;60;201;119;111;42;85
42;Municipales;2020;1;15/03/2020;3;69;18;42;11;1681;596;596;6;17;573;38;185;88;104;38;74
43;Municipales;2020;1;15/03/2020;3;69;18;43;19;1707;602;602;8;8;586;41;158;106;82;49;101
44;Municipales;2020;1;15/03/2020;3;69;18;44;6;1332;302;302;4;9;289;40;80;56;30;20;42
45;Municipales;2020;1;15/03/2020;3;69;18;45;18;1576;523;523;0;10;513;53;173;83;75;41;63
46;Municipales;2020;1;15/03/2020;3;69;18;46;18;1450;622;623;6;7;610;38;168;133;96;44;90
47;Municipales;2020;1;15/03/2020;3;69;18;47;28;1288;572;572;4;8;560;39;194;92;113;28;59
48;Municipales;2020;1;15/03/2020;3;69;18;48;27;1293;565;566;6;8;552;65;180;66;116;33;51
49;Municipales;2020;1;15/03/2020;18;69;18;49;2;1103;331;331;6;11;314;29;73;61;31;55;43
50;Municipales;2020;1;15/03/2020;18;69;18;50;3;1128;314;314;3;13;298;26;88;44;18;45;46
51;Municipales;2020;1;15/03/2020;17;71;18;51;8;1700;473;473;0;5;468;53;151;59;46;62;60
52;Municipales;2020;1;15/03/2020;17;71;18;52;32;1798;789;790;5;8;777;83;247;88;154;43;77
53;Municipales;2020;1;15/03/2020;17;71;18;53;19;1380;557;557;4;3;550;81;178;73;110;16;44
54;Municipales;2020;1;15/03/2020;17;71;18;54;18;1298;468;469;4;9;456;50;188;47;64;20;42
55;Municipales;2020;1;15/03/2020;17;71;18;55;107;1571;658;658;4;9;645;107;233;46;142;23;45
56;Municipales;2020;1;15/03/2020;17;71;18;56;13;1860;471;471;4;7;460;74;150;47;71;36;43
57;Municipales;2020;1;15/03/2020;17;71;18;57;30;1803;694;694;7;7;680;108;238;76;126;24;52
58;Municipales;2020;1;15/03/2020;17;71;18;58;33;1707;649;640;5;8;627;95;223;70;103;20;49
59;Municipales;2020;1;15/03/2020;17;72;18;59;13;1715;622;621;8;10;603;80;223;65;98;20;55
60;Municipales;2020;1;15/03/2020;17;72;18;60;33;1682;765;765;5;11;749;90;275;63;140;27;65
61;Municipales;2020;1;15/03/2020;17;72;18;61;35;1765;743;743;4;16;723;77;288;100;116;32;52
62;Municipales;2020;1;15/03/2020;17;72;18;62;10;1665;627;627;4;7;616;81;206;59;120;29;55
63;Municipales;2020;1;15/03/2020;17;72;18;63;16;1780;579;579;8;15;556;67;186;60;78;32;67
64;Municipales;2020;1;15/03/2020;17;72;18;64;18;1738;486;484;6;6;472;49;161;59;46;39;61
65;Municipales;2020;1;15/03/2020;17;72;18;65;3;1847;428;428;6;17;405;45;100;57;32;47;69
66;Municipales;2020;1;15/03/2020;18;70;18;66;23;1384;660;660;2;3;655;53;223;126;121;30;62
67;Municipales;2020;1;15/03/2020;3;69;18;67;24;1404;561;562;0;5;557;49;187;72;113;33;69
68;Municipales;2020;1;15/03/2020;17;71;18;68;18;1334;553;554;2;4;548;84;181;67;102;28;45
