ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;M. ROUXEL Olivier (LREM Buzyn);M. DAGNAUD François (PS);M. LERT Dan (EELV);Mme FORTEZA Paula (LREM Villani);Mme TOUBIANA Marie (LR);Mme LEGRAIN Sarah (LFI)
1;Municipales;2020;1;15/03/2020;16;76;19;1;18;1566;578;578;1;15;562;57;261;62;42;80;38
2;Municipales;2020;1;15/03/2020;16;76;19;2;33;1502;552;552;3;7;542;52;243;92;23;58;51
3;Municipales;2020;1;15/03/2020;16;76;19;3;12;1116;420;420;3;9;408;54;158;54;29;67;26
4;Municipales;2020;1;15/03/2020;16;76;19;4;21;1316;531;531;8;9;514;63;211;77;35;61;51
5;Municipales;2020;1;15/03/2020;16;76;19;5;24;1345;551;551;1;12;538;97;222;64;26;81;36
6;Municipales;2020;1;15/03/2020;16;76;19;6;33;1372;577;577;3;9;565;69;213;88;38;85;54
7;Municipales;2020;1;15/03/2020;17;76;19;7;20;1383;558;558;4;2;552;92;209;67;25;103;37
8;Municipales;2020;1;15/03/2020;17;76;19;8;17;1346;416;416;7;4;405;44;156;55;29;73;30
9;Municipales;2020;1;15/03/2020;16;76;19;9;21;1733;690;690;3;6;681;82;237;116;41;100;76
10;Municipales;2020;1;15/03/2020;16;76;19;10;28;1633;722;722;3;6;713;90;309;145;32;74;47
11;Municipales;2020;1;15/03/2020;16;76;19;11;32;1611;693;693;1;7;685;78;297;126;42;72;53
12;Municipales;2020;1;15/03/2020;16;76;19;12;40;1640;753;753;7;7;739;67;341;152;30;65;61
13;Municipales;2020;1;15/03/2020;16;76;19;13;27;1700;706;705;5;10;690;73;316;120;32;72;63
14;Municipales;2020;1;15/03/2020;16;76;19;14;53;1717;685;685;4;4;677;51;315;120;33;60;67
15;Municipales;2020;1;15/03/2020;16;76;19;15;25;1460;676;676;4;9;663;67;312;118;31;61;54
16;Municipales;2020;1;15/03/2020;16;76;19;16;30;1676;755;755;3;8;744;102;336;110;41;92;41
17;Municipales;2020;1;15/03/2020;16;76;19;17;14;1494;624;624;2;2;620;85;247;78;44;104;44
18;Municipales;2020;1;15/03/2020;16;75;19;18;7;786;242;242;3;8;231;17;90;28;17;43;23
19;Municipales;2020;1;15/03/2020;16;75;19;19;3;1251;285;285;4;11;270;25;102;27;13;47;30
20;Municipales;2020;1;15/03/2020;16;75;19;20;5;1481;431;431;9;4;418;48;153;44;15;97;42
21;Municipales;2020;1;15/03/2020;16;75;19;21;17;1625;617;617;5;6;606;64;237;92;34;68;92
22;Municipales;2020;1;15/03/2020;16;75;19;22;8;1483;376;376;3;11;362;40;153;32;22;54;44
23;Municipales;2020;1;15/03/2020;16;75;19;23;14;1573;535;535;3;10;522;53;244;81;31;57;37
24;Municipales;2020;1;15/03/2020;16;75;19;24;7;1505;516;516;5;7;504;79;191;58;23;93;34
25;Municipales;2020;1;15/03/2020;16;75;19;25;9;1578;578;578;2;6;570;67;239;93;29;80;44
26;Municipales;2020;1;15/03/2020;16;75;19;26;16;1462;530;530;4;7;519;57;234;59;25;81;46
27;Municipales;2020;1;15/03/2020;16;75;19;27;18;1777;686;686;3;12;671;60;286;124;24;99;56
28;Municipales;2020;1;15/03/2020;16;75;19;28;31;1667;715;715;6;6;703;114;230;123;58;87;72
29;Municipales;2020;1;15/03/2020;16;75;19;29;19;1443;550;550;0;11;539;71;212;81;31;77;46
30;Municipales;2020;1;15/03/2020;16;75;19;30;27;1574;718;718;2;5;711;93;273;108;58;125;41
31;Municipales;2020;1;15/03/2020;16;75;19;31;16;1505;648;650;7;5;638;81;255;119;38;74;54
32;Municipales;2020;1;15/03/2020;16;75;19;32;33;1509;743;743;5;6;732;66;350;131;39;71;59
33;Municipales;2020;1;15/03/2020;16;75;19;33;13;1414;471;471;5;4;462;59;211;52;26;65;26
34;Municipales;2020;1;15/03/2020;16;75;19;34;14;1316;588;588;6;8;574;78;215;86;43;79;54
35;Municipales;2020;1;15/03/2020;16;75;19;35;7;1111;335;335;7;8;320;37;117;44;24;47;36
36;Municipales;2020;1;15/03/2020;16;75;19;36;12;1353;494;494;1;4;489;53;207;50;16;86;50
37;Municipales;2020;1;15/03/2020;16;75;19;37;6;1385;459;459;4;8;447;39;199;52;22;68;39
