ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;M. PLIEZ Eric (PS);M. DIDIER François-Marie (LR);M. NEZZAR Rayan (LREM Villani);Mme SIMONNET Danielle (LFI);Mme CALANDRA Frédérique (LREM Buzyn);Mme GUHL Antoinette (EELV)
1;Municipales;2020;1;15/03/2020;15;79;20;1;20;1347;588;588;3;26;559;219;95;34;48;66;56
2;Municipales;2020;1;15/03/2020;15;79;20;2;17;1138;534;535;3;16;516;205;90;43;50;75;32
3;Municipales;2020;1;15/03/2020;15;79;20;3;21;1471;627;627;8;35;584;247;78;42;55;62;68
4;Municipales;2020;1;15/03/2020;15;79;20;4;25;1429;667;667;4;34;629;243;79;43;66;93;75
5;Municipales;2020;1;15/03/2020;15;79;20;5;22;1391;680;681;6;34;641;270;84;48;33;100;80
6;Municipales;2020;1;15/03/2020;15;79;20;6;11;1411;629;629;10;9;610;201;100;48;66;71;82
7;Municipales;2020;1;15/03/2020;15;79;20;7;11;1327;558;558;2;33;523;173;80;57;47;73;68
8;Municipales;2020;1;15/03/2020;15;79;20;8;25;1307;621;621;1;29;591;228;55;60;48;100;78
9;Municipales;2020;1;15/03/2020;15;77;20;9;27;1597;584;584;6;35;543;210;71;39;58;73;62
10;Municipales;2020;1;15/03/2020;15;77;20;10;13;1380;447;447;3;20;424;187;62;22;49;40;36
11;Municipales;2020;1;15/03/2020;15;77;20;11;22;1638;601;601;13;23;565;252;73;37;67;52;49
12;Municipales;2020;1;15/03/2020;15;77;20;12;23;1344;633;633;5;28;600;268;51;38;73;70;81
13;Municipales;2020;1;15/03/2020;15;77;20;13;22;1502;700;700;5;46;649;298;49;29;106;59;82
14;Municipales;2020;1;15/03/2020;15;77;20;14;31;1564;749;749;2;31;716;311;54;55;78;77;99
15;Municipales;2020;1;15/03/2020;15;78;20;15;17;1484;628;628;3;16;609;224;87;45;59;77;83
16;Municipales;2020;1;15/03/2020;15;78;20;16;25;1592;779;779;1;30;748;269;154;42;65;96;72
17;Municipales;2020;1;15/03/2020;15;78;20;17;4;1513;582;582;1;32;549;187;82;41;71;74;54
18;Municipales;2020;1;15/03/2020;15;78;20;18;15;1438;475;475;7;14;454;152;85;32;49;56;45
19;Municipales;2020;1;15/03/2020;15;78;20;19;12;1496;675;675;5;39;631;224;111;48;58;87;54
20;Municipales;2020;1;15/03/2020;15;78;20;20;9;1616;564;564;7;28;529;197;76;35;55;58;57
21;Municipales;2020;1;15/03/2020;15;78;20;21;8;1591;502;502;8;23;471;140;87;39;33;82;39
22;Municipales;2020;1;15/03/2020;15;78;20;22;15;1564;617;617;7;28;582;196;121;50;53;61;69
23;Municipales;2020;1;15/03/2020;15;78;20;23;32;1606;706;706;7;33;666;201;136;47;68;113;51
24;Municipales;2020;1;15/03/2020;15;78;20;24;15;1435;650;650;5;41;604;215;88;38;56;90;88
25;Municipales;2020;1;15/03/2020;15;78;20;25;19;1557;734;734;6;26;702;322;76;38;70;80;87
26;Municipales;2020;1;15/03/2020;15;78;20;26;16;1396;526;527;0;23;504;203;58;38;64;56;55
27;Municipales;2020;1;15/03/2020;15;78;20;27;16;1353;588;588;2;23;563;189;103;57;56;78;43
