ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;M. PENINOU Mao (LREM Villani);Mme LEMARDELEY Marie-Christine (PS);Mme BIRABEN Anne (LR);M. AUDOUIN Laurent (EELV);Mme BERTHOUT Florence (LREM Buzyn)
1;Municipales;2020;1;15/03/2020;2;20;5;1;51;1439;679;680;3;2;675;57;164;106;80;193
2;Municipales;2020;1;15/03/2020;2;20;5;2;38;1613;777;777;2;3;772;63;184;149;59;247
3;Municipales;2020;1;15/03/2020;2;20;5;3;30;1607;701;701;0;7;694;47;172;154;75;182
4;Municipales;2020;1;15/03/2020;2;20;5;4;29;1452;694;694;2;3;689;53;162;153;54;208
5;Municipales;2020;1;15/03/2020;2;19;5;5;30;1579;736;736;3;2;731;49;168;103;93;236
6;Municipales;2020;1;15/03/2020;2;19;5;6;39;1351;665;665;3;1;661;52;159;118;65;203
7;Municipales;2020;1;15/03/2020;2;19;5;7;30;1558;756;756;4;2;750;53;171;142;83;234
8;Municipales;2020;1;15/03/2020;2;19;5;8;34;1671;842;843;2;3;838;69;177;175;76;295
9;Municipales;2020;1;15/03/2020;2;19;5;9;38;1590;820;820;4;6;810;77;207;127;82;253
10;Municipales;2020;1;15/03/2020;2;19;5;10;68;1528;714;714;4;3;707;55;174;114;71;235
11;Municipales;2020;1;15/03/2020;2;19;5;11;27;1566;710;710;3;2;705;74;192;118;84;182
12;Municipales;2020;1;15/03/2020;2;19;5;12;64;1516;730;730;1;8;721;53;215;129;82;170
13;Municipales;2020;1;15/03/2020;2;18;5;13;25;1279;606;606;5;3;598;49;140;107;69;163
14;Municipales;2020;1;15/03/2020;2;18;5;14;36;1356;611;611;3;2;606;46;171;82;73;167
15;Municipales;2020;1;15/03/2020;2;18;5;15;34;1471;649;649;4;8;637;41;170;110;89;167
16;Municipales;2020;1;15/03/2020;2;18;5;16;17;1498;693;692;6;8;678;56;197;90;93;170
17;Municipales;2020;1;15/03/2020;2;18;5;17;50;1469;674;675;3;5;667;41;193;113;99;148
18;Municipales;2020;1;15/03/2020;2;18;5;18;45;1446;680;680;3;5;672;54;177;111;66;179
19;Municipales;2020;1;15/03/2020;2;18;5;19;25;1390;682;682;1;7;674;37;150;104;88;192
20;Municipales;2020;1;15/03/2020;2;18;5;20;16;1497;704;703;4;3;696;39;164;115;88;204
21;Municipales;2020;1;15/03/2020;2;17;5;21;29;1522;751;752;4;2;746;60;239;123;83;190
22;Municipales;2020;1;15/03/2020;2;17;5;22;45;1416;677;677;5;2;670;40;162;138;74;194
23;Municipales;2020;1;15/03/2020;2;17;5;23;27;1476;660;660;4;1;655;53;148;144;53;193
24;Municipales;2020;1;15/03/2020;2;17;5;24;25;1466;709;709;7;2;700;43;208;91;101;169
25;Municipales;2020;1;15/03/2020;2;17;5;25;36;1627;755;756;1;6;749;61;184;107;117;213
