ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;Mme KIS Antoinette (EELV);Mme ANDREZ Olivia (LREM Villani);Mme HERVIEU Céline (PS);M. GANTZER Gaspard (LREM Buzyn);M. LECOQ Jean-Pierre (LR)
1;Municipales;2020;1;15/03/2020;2;22;6;1;25;1325;560;560;4;1;555;41;43;112;120;214
2;Municipales;2020;1;15/03/2020;2;22;6;2;33;1278;535;535;3;2;530;37;39;90;128;223
3;Municipales;2020;1;15/03/2020;2;22;6;3;24;1428;655;655;2;2;651;60;54;127;141;230
4;Municipales;2020;1;15/03/2020;2;21;6;4;23;1131;464;465;1;3;461;49;34;91;106;166
5;Municipales;2020;1;15/03/2020;2;21;6;5;23;1194;484;484;3;2;479;35;47;103;106;163
6;Municipales;2020;1;15/03/2020;2;21;6;6;30;1135;519;521;1;3;517;34;61;128;86;184
7;Municipales;2020;1;15/03/2020;2;24;6;7;11;1012;438;438;1;2;435;42;27;69;103;180
8;Municipales;2020;1;15/03/2020;2;24;6;8;15;1020;444;444;3;1;440;23;37;82;124;159
9;Municipales;2020;1;15/03/2020;2;24;6;9;13;906;366;366;3;2;361;24;27;61;63;175
10;Municipales;2020;1;11/03/2008;2;22;6;10;18;1121;547;547;3;2;542;38;68;90;158;163
11;Municipales;2020;1;15/03/2020;11;23;6;11;24;1268;535;535;0;1;534;45;38;118;116;197
12;Municipales;2020;1;15/03/2020;11;23;6;12;27;1129;524;524;1;0;523;28;42;77;120;236
13;Municipales;2020;1;15/03/2020;11;23;6;13;26;1333;615;615;3;4;608;33;71;108;130;238
14;Municipales;2020;1;15/03/2020;11;23;6;14;25;1239;541;541;0;0;541;48;45;97;106;224
15;Municipales;2020;1;15/03/2020;11;23;6;15;13;1235;509;509;0;6;503;38;42;76;106;223
16;Municipales;2020;1;15/03/2020;11;23;6;16;38;1495;615;615;3;2;610;62;51;108;124;246
17;Municipales;2020;1;15/03/2020;11;23;6;17;25;1504;670;670;2;4;664;48;48;154;154;236
18;Municipales;2020;1;15/03/2020;11;23;6;18;24;1040;506;506;1;4;501;45;46;82;106;203
19;Municipales;2020;1;15/03/2020;11;23;6;19;34;1067;527;527;1;2;524;32;38;89;137;207
20;Municipales;2020;1;15/03/2020;11;23;6;20;23;1184;519;520;1;4;515;33;55;81;138;194
21;Municipales;2020;1;15/03/2020;11;23;6;21;14;1137;512;512;1;5;506;42;51;114;101;179
22;Municipales;2020;1;15/03/2020;11;23;6;22;26;1269;569;569;2;2;565;46;63;98;150;184
