ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;Mme DATI Rachida (LR);M. MISSOFFE Alexandre (LREM Buzyn);Mme FILIPPOVA Diana (PS);Mme LAPORTE Manon (LREM Villani);
1;Municipales;2020;1;15/03/2020;2;26;7;1;24;1047;468;468;1;2;465;237;118;34;38;
2;Municipales;2020;1;15/03/2020;2;26;7;2;37;1309;598;598;1;0;597;286;142;70;42;
3;Municipales;2020;1;15/03/2020;2;26;7;3;22;1318;572;573;0;4;569;309;119;63;38;
4;Municipales;2020;1;15/03/2020;2;25;7;4;18;1254;509;510;0;3;507;236;109;78;38;
5;Municipales;2020;1;15/03/2020;2;25;7;5;22;1369;608;609;1;0;608;304;148;64;32;
6;Municipales;2020;1;15/03/2020;2;25;7;6;27;1430;607;607;0;2;605;293;149;79;35;
7;Municipales;2020;1;15/03/2020;2;25;7;7;25;1415;657;657;3;7;647;321;165;75;37;
8;Municipales;2020;1;15/03/2020;2;25;7;8;44;1543;772;772;1;0;771;384;222;83;36;
9;Municipales;2020;1;15/03/2020;12;27;7;9;27;1273;599;599;0;1;598;280;147;69;43;
10;Municipales;2020;1;11/03/2008;12;27;7;10;20;1508;669;669;2;5;662;300;146;95;48;
11;Municipales;2020;1;15/03/2020;12;27;7;11;35;1249;651;650;3;2;645;357;157;55;25;
12;Municipales;2020;1;15/03/2020;12;27;7;12;23;1253;598;598;3;4;591;297;157;61;30;
13;Municipales;2020;1;15/03/2020;12;27;7;13;22;1211;605;605;1;3;601;322;132;65;33;
14;Municipales;2020;1;15/03/2020;12;27;7;14;24;1356;634;635;0;4;631;322;149;77;34;
15;Municipales;2020;1;15/03/2020;2;28;7;15;25;1454;705;705;3;6;696;338;153;101;44;
16;Municipales;2020;1;15/03/2020;2;28;7;16;22;1378;681;681;3;10;668;330;155;78;41;
17;Municipales;2020;1;15/03/2020;2;28;7;17;12;1271;559;559;3;3;553;252;103;91;41;
18;Municipales;2020;1;15/03/2020;2;28;7;18;14;1405;621;623;2;3;618;265;136;105;39;
19;Municipales;2020;1;15/03/2020;2;28;7;19;29;1258;610;610;4;5;601;299;125;86;26;
20;Municipales;2020;1;15/03/2020;2;28;7;20;25;1314;612;612;3;5;604;331;126;64;26;
21;Municipales;2020;1;15/03/2020;2;28;7;21;24;1417;678;677;5;8;664;394;137;56;26;
22;Municipales;2020;1;15/03/2020;2;28;7;22;29;1312;575;575;0;0;575;299;115;71;29;
23;Municipales;2020;1;15/03/2020;2;28;7;23;23;1238;620;622;7;2;613;341;147;53;25;
24;Municipales;2020;1;15/03/2020;2;28;7;24;22;1167;511;513;2;2;509;282;124;19;27;
25;Municipales;2020;1;15/03/2020;2;28;7;25;10;1251;550;549;1;0;548;299;125;39;35;
