ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;Mme D'HAUTESERRE Jeanne (LR);Mme LÉCUYER Catherine (LDVD);Mme MICHEL Athénaïs (PS);Mme SEGOND Sophie (LREM Buzyn);Mme BORDRY Isabelle (LREM Villani)
1;Municipales;2020;1;15/03/2020;1;32;8;1;33;1515;661;661;2;4;655;223;100;60;175;53
2;Municipales;2020;1;15/03/2020;1;32;8;2;15;1389;541;541;1;1;539;204;67;43;155;32
3;Municipales;2020;1;15/03/2020;1;32;8;3;39;1389;674;674;3;6;665;205;129;60;159;49
4;Municipales;2020;1;15/03/2020;1;32;8;4;27;1398;574;575;4;3;568;203;65;39;190;33
5;Municipales;2020;1;15/03/2020;1;32;8;5;24;1625;732;732;2;1;729;249;98;79;182;73
6;Municipales;2020;1;15/03/2020;1;32;8;6;19;1370;635;635;2;4;629;177;70;60;172;57
7;Municipales;2020;1;15/03/2020;1;32;8;7;29;1486;712;713;3;4;706;192;82;93;199;62
8;Municipales;2020;1;15/03/2020;1;32;8;8;28;1447;694;695;7;7;681;166;69;117;188;59
9;Municipales;2020;1;15/03/2020;1;32;8;9;21;1640;803;803;3;7;793;264;114;61;201;56
10;Municipales;2020;1;11/03/2008;1;31;8;10;9;1038;406;406;1;1;404;171;33;47;92;17
11;Municipales;2020;1;15/03/2020;1;31;8;11;16;1151;476;476;0;2;474;157;53;57;134;26
12;Municipales;2020;1;15/03/2020;1;31;8;12;17;1305;510;510;2;2;506;170;54;53;146;30
13;Municipales;2020;1;15/03/2020;1;30;8;13;16;1492;596;596;0;3;593;227;74;63;146;36
14;Municipales;2020;1;15/03/2020;1;30;8;14;33;1491;565;565;3;2;560;215;55;65;133;46
15;Municipales;2020;1;15/03/2020;1;30;8;15;35;1574;575;575;0;3;572;227;63;47;144;42
16;Municipales;2020;1;15/03/2020;1;30;8;16;32;1539;623;623;0;2;621;255;62;38;186;37
17;Municipales;2020;1;15/03/2020;1;29;8;17;7;901;306;306;0;2;304;135;21;34;77;11
18;Municipales;2020;1;15/03/2020;1;29;8;18;9;926;296;296;1;2;293;134;28;31;59;25
